title,artist,nationality,date,medium,classification,department,object_id,url,image_url
"Sotto la Cabina Misteriosa (Under the Mysterious Cabin) (plate, folio 18) from Mythologie",Giorgio de Chirico,(Italian),1934,One from an illustrated book with ten lithographs,Illustrated Book,Drawings & Prints,23489,https://www.moma.org/collection/works/23489,https://www.moma.org/media/W1siZiIsIjI0OTc1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=118a26db46b04534
Boneman,Susan Rothenberg,(American),1986,Mezzotint on wood veneer paper,Print,Drawings & Prints,67173,https://www.moma.org/collection/works/67173,https://www.moma.org/media/W1siZiIsIjI0ODY5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9fd82fb51266c5ba
Poster for Metropolis,Heinz Schulz-Neudamm,(German),1926,Lithograph,Design,Architecture & Design,88251,https://www.moma.org/collection/works/88251,https://www.moma.org/media/W1siZiIsIjE2OTkwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c341223874364ad6
Oberweimar Bowl,Wilhelm Wagenfeld,(German),1935,Blown glass,Design,Architecture & Design,3715,정보없음,정보없음
"Torre UIA (Union Industrial Argentina), Buenos Aires","Flora Manteola, Javier Sánchez Gómez, Josefa Santos, Justo Solsona, Rafael Viñoly, Carlos Sallaberry, Felipe Tarsitano",(Argentine) (Argentine) (Argentine) (Argentine) (American) (Argentine) (Argentine),1972-1974,digital image(?),Architecture,Architecture & Design,185801,정보없음,정보없음
"Mexico City 1968 Olympics Newsletter no. 11, with Pictorial Review","Lance Wyman, Department of Publications and Urban Design, Organizing Committee of the XIX Olympiad, Beatrice Trueblood, Eduardo Terrazas",(American) () (British) (Mexican),1968,Lithograph,Design,Architecture & Design,184153,https://www.moma.org/collection/works/184153,정보없음
"Joseph Cantor House, Indianapolis, IN (Section. Sketch.)",Ludwig Mies van der Rohe,(American),1946—1947,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,460740,정보없음,정보없음
"IITRI Minerals and Metals Research Building, Chicago, IL (Stairway. Plans, sections. Structural details. Sections.)",Ludwig Mies van der Rohe,(American),1942—1943,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,454497,정보없음,정보없음
Ninja Boot Performance Surf Boot,"Eli Marmar, John Hunter",(American) (American),2002,3mm neoprene with Tatex rubber sole,Design,Architecture & Design,94374,정보없음,정보없음
Untitled from Moonstrips Empire News,Eduardo Paolozzi,(British),1967,One from a portfolio of 101 screenprints (including title page and colophon),Print,Drawings & Prints,32704,https://www.moma.org/collection/works/32704,https://www.moma.org/media/W1siZiIsIjE5NTI0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6043c773bafc3b77
Italia,A. M. Cassandre,(French),1936,Lithograph,Design,Architecture & Design,6918,https://www.moma.org/collection/works/6918,https://www.moma.org/media/W1siZiIsIjU4OTE0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6697808ace48be5c
"Man, Tenancingo",Paul Strand,(American),1933,Photogravure,Photograph,Photography,49136,정보없음,정보없음
"Seagram Building, New York City, NY (Ceiling construction and special lighting details. Sections, plans.)",Ludwig Mies van der Rohe,(American),1954—1958,Sepia print,Mies van der Rohe Archive,Architecture & Design,465341,정보없음,정보없음
Wave Nineteen Twenty,June Wayne,(American),1968,Lithograph,Print,Drawings & Prints,72383,https://www.moma.org/collection/works/72383,https://www.moma.org/media/W1siZiIsIjQzMDYwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9f56af1483b12a1f
Group of Faces V (Suite de visages V) (variant),Jean Dubuffet,(French),1946,Lithograph,Print,Drawings & Prints,74016,https://www.moma.org/collection/works/74016,https://www.moma.org/media/W1siZiIsIjE4MTcwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7eff48cdc6b46900
Silent Movie,Jonathan Horowitz,(American),2003,"Video (black and white and color, sound; 10:03 min.) and digital player piano",Installation,Media and Performance,133634,https://www.moma.org/collection/works/133634,https://www.moma.org/media/W1siZiIsIjE3MzQzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=322fa4871ef852b9
"Untitled (plate 8) from The International Anthology of Contemporary Engraving: The International Avant-Garde, Volume 5: America Discovered (Anthologia internazionale dell'incisione contemporanea: L'Avanguardia internazionale: Volume 5: Scoperta dell'America)",Red Grooms,(American),"1962, published 1964","Etching from an album of 16 etchings (one with aquatint, one with drypoint, one with pencil additions), three photogravures (two with etching), and one relief halftone",Illustrated Book,Drawings & Prints,15689,https://www.moma.org/collection/works/15689,https://www.moma.org/media/W1siZiIsIjU1ODM2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2ef717c75db1ce41
"United Silk-Weaving Mills Factory Building, Krefeld, Germany (Basement plan.)",Ludwig Mies van der Rohe,(American),1930—1935,Pencil on tracing paper paper,Mies van der Rohe Archive,Architecture & Design,486799,정보없음,정보없음
"Kesha Scales, UAW Local 1714, hugging her best friend and former co-worker Beverly Williams in her living room, (22 years in at GM Lordstown Complex, pressroom), Youngstown, OH.",LaToya Ruby Frazier,(American),2019,Gelatin silver print,Photograph,Photography,451253,https://www.moma.org/collection/works/451253,https://www.moma.org/media/W1siZiIsIjU1NDM1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=054dd8f8ecd34c33
"und atme nicht ein, und atme nicht aus, und rühre mich nicht vom Fleck (and do not breathe in, and do not breathe out, and do not move from the spot) from Book Drafts",Rosemarie Trockel,(German),1982/1986,Cut-and-pasted printed paper cover over book (Frauen im Speigel der Kunst),Drawing,Drawings & Prints,196334,https://www.moma.org/collection/works/196334,https://www.moma.org/media/W1siZiIsIjMzNjIzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9e9fdec4da69824f
"The Table Piled with Food (La Table chargée de victuailles), plate XXXV (supplementary suite) from Les Âmes mortes",Marc Chagall,(French),1923-48,Etching and drypoint,Illustrated Book,Drawings & Prints,22591,https://www.moma.org/collection/works/22591,https://www.moma.org/media/W1siZiIsIjI0MzQ5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3dc9def7d7827554
"Coolie and Creel, Szechuan",John Thomson,(British),1874,Collotype,Photograph,Photography,92803,정보없음,정보없음
Painting,Pierre Soulages,(French),1948-49,Walnut stain on canvas,Painting,Painting & Sculpture,78892,https://www.moma.org/collection/works/78892,https://www.moma.org/media/W1siZiIsIjE1NjExOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=98ced44d4bc573fe
Plate (page 183) from Les Petites Fleurs de St. François (The Little Flowers of St. Francis),Émile Bernard,(French),1928,One from an illustrated book with 329 woodcuts,Illustrated Book,Drawings & Prints,20359,https://www.moma.org/collection/works/20359,https://www.moma.org/media/W1siZiIsIjE3OTQyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=991a8621527687f0
Unidentfied Project (Exterior perspective and section. Sketch.),Ludwig Mies van der Rohe,(American),n.d.,colored pencil on paper,Mies van der Rohe Archive,Architecture & Design,470499,정보없음,정보없음
"Hugh Hefner and Jesse Jackson, Operation PUSH Fundraiser, Chicago from the portfolio Big Shots",Garry Winogrand,(American),1972,"Gelatin silver print, printed 1983",Photograph,Photography,113237,https://www.moma.org/collection/works/113237,https://www.moma.org/media/W1siZiIsIjE5NzQ0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bdc2f7ec09d83700
"Adrift, 3",Tomonori Toyofuku,(Japanese),1960,"Wood on iron supports, finished with wax and pigment",Sculpture,Painting & Sculpture,80816,https://www.moma.org/collection/works/80816,https://www.moma.org/media/W1siZiIsIjU1MDM2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2cefe46328d63971
Untitled from Fabricated Cultural Belief Systems,Ryan McGinness,(American),2004,One from a series of 100 screenprints,Print,Drawings & Prints,98056,https://www.moma.org/collection/works/98056,https://www.moma.org/media/W1siZiIsIjI3NjM1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e56d32f24b0ee84f
"Page from Sketchbook #51, Paris",Ellsworth Kelly,(American),1964,"Page from a sketchbook with pencil, ink, charcoal, gouache, ballpoint pen, and oil paint on paper",Notebook,Drawings & Prints,441327,정보없음,정보없음
Spuds Are the Goods. Says 'Potato Pete',Unknown artist,(),Unknown,Poster,Design,Architecture & Design,5548,정보없음,정보없음
Joueur de guitare,Eugène Atget,(French),1899-1900,Albumen silver print,Photograph,Photography,43763,https://www.moma.org/collection/works/43763,https://www.moma.org/media/W1siZiIsIjI4NjI3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=92495e8139128b0a
ENSEIGNE. RUE DES SAINT PÈRES,Eugène Atget,(French),1911,Albumen silver print,Photograph,Photography,41525,정보없음,정보없음
Auld Lang Syne,Doug Melnyck,(Canadian),1988,"Hi-8mm film transferred to video (color, sound)",Video,Media and Performance,120163,https://www.moma.org/collection/works/120163,https://www.moma.org/media/W1siZiIsIjIzMzY5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4a5c2b74fc4a0607
Plate (folio 5) from Adventures in KU-TA-BA WA-DO,Gerald Jackson,(American),1973,One from an illustrated book with with seventy-nine linoleum cuts,Illustrated Book,Drawings & Prints,9907,정보없음,정보없음
"Label (9) from Untitled/""The history of modern painting, to label it with a phrase, has been the struggle against the catalogue""--Barnett Newman/(Monochrome Painting, 1988-1989)",Stephen Prina,(American),1991,"Ink wash on rag, barrier paper, and cardboard",Drawing,Drawings & Prints,487740,정보없음,정보없음
Notes for Roaratorio,Merce Cunningham,(American),1983,Felt-tip pen on 24 sheets of paper,Drawing,Drawings & Prints,186354,https://www.moma.org/collection/works/186354,https://www.moma.org/media/W1siZiIsIjMxNDMxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6bc14335bc4af16a
"General Andrew Jackson. Jackson Square, New Orleans, Louisiana",Lee Friedlander,(American),1973,Gelatin silver print,Photograph,Photography,56334,https://www.moma.org/collection/works/56334,https://www.moma.org/media/W1siZiIsIjUzMDkzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=aaf29b1c9c7c0ac3
Untitled from Arman estampes: catalogue raisonné,Arman,(American),1990,Drypoint from a book with two drypoints,Illustrated Book,Drawings & Prints,222171,https://www.moma.org/collection/works/222171,https://www.moma.org/media/W1siZiIsIjQ4MDQ2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=02c2c2cc2e983663
Day by Day… they take some brain away,Sigmar Polke,(German),1975,"Artist's book and exh. cat. with 28 pages (including cover) and numberous ills., loose folded sheets",Illustrated Book,Drawings & Prints,434571,정보없음,정보없음
Schweiz - Braunwald,Heinrich Steiuer,(),1900-1937,Poster,Design,Architecture & Design,6232,정보없음,정보없음
"Resor House project, Jackson Hole, WY (Exterior perspective. Sketch.)",Ludwig Mies van der Rohe,(American),1937—1938,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,493901,정보없음,정보없음
Plate (folio 16) from Hommage à Roger Lacourière,André Dunoyer de Segonzac,(French),1968,"Etching from an illustrated book with twelve etchings (two with aquatint, two with drypoint, one with aquatint and drypoint) and one drypoint",Illustrated Book,Drawings & Prints,9219,https://www.moma.org/collection/works/9219,https://www.moma.org/media/W1siZiIsIjQwMTk2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6692d2f7b94f432c
"Amagansett, New York",Joel Meyerowitz,(American),1968,Gelatin silver print,Photograph,Photography,54849,https://www.moma.org/collection/works/54849,https://www.moma.org/media/W1siZiIsIjIxNzg3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=70474a791d2e1ce5
Plate (folio 16 verso) from The Vitreous Body,Kiki Smith,(American),1999–2000,"Woodcut with die-cut from an illustrated book with eighteen woodcuts, twelve with die-cuts",Illustrated Book,Drawings & Prints,86798,정보없음,정보없음
Event for a Whole Year,Robert Watts,(American),c. 1962,Letterpress,Print,Drawings & Prints,222834,https://www.moma.org/collection/works/222834,https://www.moma.org/media/W1siZiIsIjQyNjU4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=64694e48496d0c18
"MORGAN COUNTY, JACKSONVILLE, ILLINOIS",Lewis Kostiner,(American),1975-76,Gelatin silver print,Photograph,Photography,52156,정보없음,정보없음
Tailpiece (page 117) from Parallèlement (In Parallel),Pierre Bonnard,(French),1900,Lithograph from an illustrated book with 109 lithographs and nine wood engravings,Illustrated Book,Drawings & Prints,21386,https://www.moma.org/collection/works/21386,https://www.moma.org/media/W1siZiIsIjE4MTA4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=48535e9747ab431c
Disarming Armor (L'armure désarmante) from the portfolio Studies and Surprises (Etudes et Surprises),Asger Jorn,(Danish),"1971, published 1972",Woodcut,Print,Drawings & Prints,63788,https://www.moma.org/collection/works/63788,https://www.moma.org/media/W1siZiIsIjIxNTExMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cc511d3b42b1441d
"Mother and Child, Harlem, NY",Ming Smith,(American),1976,Gelatin silver print,Photograph,Photography,274188,https://www.moma.org/collection/works/274188,https://www.moma.org/media/W1siZiIsIjQyMjIzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8497d7b10c8c1dfa
Yohko,Masahisa Fukase,(Japanese),1964,Gelatin silver print,Photograph,Photography,49705,https://www.moma.org/collection/works/49705,https://www.moma.org/media/W1siZiIsIjIzNzUzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c72d7eb19524e0cf
"Plate 12 (in-text plate, folio 26) from UN SOUPÇON",Michel Guino,(French),1965,"Drypoint, printed in color",Illustrated Book,Drawings & Prints,13701,정보없음,정보없음
Crackers,Edward Ruscha,(American),1969,"Artist's book, offset printed",Illustrated Book,Drawings & Prints,146935,https://www.moma.org/collection/works/146935,https://www.moma.org/media/W1siZiIsIjI0ODkzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1d1909b09870f7f2
Color separations for the portfolio The Land Surveyor (L'Arpenteur) from Phenomena (Les Phénomènes),Jean Dubuffet,(French),1960,Portfolio of 72 lithographs,Print,Drawings & Prints,72158,정보없음,정보없음
Untitled from Homage to Picasso (Hommage à Picasso),Kumi Sugaï,(Japanese),1973,"Screenprint from a portfolio of thirty-one lithographs (one with aquatint, one with collotype, one with screenprint), twenty-two screenprints (one with embossing, one with flocking, one with stencil), eleven etchings (five with aquatint, one with aquatint and drypoint, one with aquatint, drypoint, and engraving), three aquatints (one with etching), and two woodcuts",Print,Drawings & Prints,60251,https://www.moma.org/collection/works/60251,https://www.moma.org/media/W1siZiIsIjIzMTQ3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fd776e663e58c37a
"Ron Bacardi y Compania, S.A. Administration Building, Mexico City, Mexico (Partial interior elevations.)",Ludwig Mies van der Rohe,(American),1958,"Pencil, Ink on paper",Mies van der Rohe Archive,Architecture & Design,467975,정보없음,정보없음
Untitled (Line after B. Nauman's The True Artist Helps the World by Revealing Mystic Truths),Peter Coffin,(American),2004,"Neon, plexiglass, and wire",Sculpture,Painting & Sculpture,108272,https://www.moma.org/collection/works/108272,https://www.moma.org/media/W1siZiIsIjEzODc5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8737b8074b37a39c
Mario Merz was in this place and thought about things far away from here,"János Kender, Harry Shunk, Mario Merz",(Hungarian) (French) (Italian),1971,Gelatin silver print,Photograph,Photography,176097,https://www.moma.org/collection/works/176097,https://www.moma.org/media/W1siZiIsIjI5MjI3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7f4ee625d771ed5c
Killed Book / Painted White /,Milan Knížák,(Czech),1972,Painted book in display box with glass lid,Sculpture,Drawings & Prints,131326,https://www.moma.org/collection/works/131326,https://www.moma.org/media/W1siZiIsIjMyMzY5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=25fd3a02ea42b047
One Hundred Sinkholes,Jenny Perlin,(American),2014,Ink on 100 sheets of paper,Drawing,Drawings & Prints,186571,https://www.moma.org/collection/works/186571,https://www.moma.org/media/W1siZiIsIjMyMDA1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1dd214ef9d39e934
"Commonwealth Promenade Apartment Buildings, Chicago, IL (Roof deck plan and section.)",Ludwig Mies van der Rohe,(American),1953—1956,"Pencil with typed notes on acetate, mounted",Mies van der Rohe Archive,Architecture & Design,463641,정보없음,정보없음
The Exquisite Corpe Will Drink the Young Wine,Fiona Banner,(British),2012,Glass wine bottle with printed label,Multiple,Drawings & Prints,188914,https://www.moma.org/collection/works/188914,https://www.moma.org/media/W1siZiIsIjM0NTU3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8759161cd65c3690
Hold My Bones,Louise Bourgeois,(American),2000,Drypoint,Print,Drawings & Prints,119335,https://www.moma.org/collection/works/119335,https://www.moma.org/media/W1siZiIsIjE0MTg4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6fcf581f2cfce4bf
Jump,Elizabeth Murray,(American),1993,Lithograph,Print,Drawings & Prints,73094,https://www.moma.org/collection/works/73094,https://www.moma.org/media/W1siZiIsIjIxNzkxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f8201a1ef256abd9
Tongues Untied,Marlon Riggs,(American),1989,"Video (color, sound)",Video,Media and Performance,107709,https://www.moma.org/collection/works/107709,https://www.moma.org/media/W1siZiIsIjQ0NjAyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9193717452bd6c67
"Frank Stella, ""Hiraqla II,"" 1967",Richard Pettibone,(American),1968,Synthetic polymer paint on canvas,Painting,Painting & Sculpture,79580,https://www.moma.org/collection/works/79580,https://www.moma.org/media/W1siZiIsIjExODQyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=52cbdec785d7a57b
In-text plate (page 33) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1931-1937,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,25606,정보없음,정보없음
"Ron Bacardi y Compania, S.A., Administration Building, Santiago, Cuba (Longitudinal elevation. Sketch.)",Ludwig Mies van der Rohe,(American),1957—1960,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,466649,정보없음,정보없음
Fraction Too Much Friction,Richard Lowenstein,(Australian),1983,"Video (color, sound)",Video,Media and Performance,118261,https://www.moma.org/collection/works/118261,정보없음
"Patty, Texas",Rachel Harrison,(American),2007,Inkjet print,Photograph,Photography,109448,정보없음,정보없음
Headpiece and pictorial initial E (page 62) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1931-1937,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,25624,정보없음,정보없음
Christ Ascended,Robert Hansen,(American),1964,Lithograph,Print,Drawings & Prints,76760,https://www.moma.org/collection/works/76760,https://www.moma.org/media/W1siZiIsIjU1MDc4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=02cb434948add380
"Plan for Socialist Offensive (Plan sotsialisticheskogo nastupleniia) from 30 dnei (30 days), no. 11",Gustav Klutsis,(Latvian),1929,"Magazine, letterpress printed",Periodical,Drawings & Prints,280223,https://www.moma.org/collection/works/280223,https://www.moma.org/media/W1siZiIsIjQ4MjA5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e5e666c90db08000
The Dream,Henri Rousseau,(French),1910,Oil on canvas,Painting,Painting & Sculpture,79277,https://www.moma.org/collection/works/79277,https://www.moma.org/media/W1siZiIsIjMzOTE0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=164d88f92c6e108e
"IIT S.R. Crown Hall, Chicago, IL (Basement-floor plan.)",Ludwig Mies van der Rohe,(American),1950—1956,Pencil and colored pencil on paper,Mies van der Rohe Archive,Architecture & Design,459156,정보없음,정보없음
