title,artist,nationality,date,medium,classification,department,object_id,url,image_url
The Sea Became Blood (El Mar Se Hizo Sangre),Victor Delhez,(Belgian),1958,Wood engraving,Print,Drawings & Prints,60689,https://www.moma.org/collection/works/60689,https://www.moma.org/media/W1siZiIsIjIxNDcyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fe51e1f639862c14
Pull/Glue,Paul Sharits,(American),1966,"Letterpress card, folded and pasted",Illustrated Book,Drawings & Prints,132054,https://www.moma.org/collection/works/132054,https://www.moma.org/media/W1siZiIsIjMwNzAxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ed4d2c23f117b6e7
"Commonwealth Promenade Apartment Buildings, Chicago, IL (Unidentified. Perspective and section. Sketch.)",Ludwig Mies van der Rohe,(American),1953—1956,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,463746,정보없음,정보없음
"Hermann Lange House, Krefeld, Germany (Sections; supports and jointed girders for staircase. Shop drawing.)",Ludwig Mies van der Rohe,(American),c.1927-1930,Pencil on print,Mies van der Rohe Archive,Architecture & Design,191253,https://www.moma.org/collection/works/191253,https://www.moma.org/media/W1siZiIsIjMyMDE2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9507b9cf5496450c
Panels for the Walls of the World: Phase II,Stan VanDerBeek,(American),1970,Xerox Telecopier II fax transmission,Print,Drawings & Prints,497644,정보없음,정보없음
Mark Lombardi - Dead Artist,Benjamin Cottam,(American),(2003),Silverpoint on prepared paper,Drawing,Drawings & Prints,95722,https://www.moma.org/collection/works/95722,https://www.moma.org/media/W1siZiIsIjExNDQ1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=30e789768f008a17
MIDSUMMER WALL,Jim Dine,(American),1966,"Lithograph, printed in color",Print,Drawings & Prints,65963,정보없음,정보없음
"Cleveland, Ohio",Lee Friedlander,(American),1980,Gelatin silver print,Photograph,Photography,57335,https://www.moma.org/collection/works/57335,https://www.moma.org/media/W1siZiIsIjQ2MzkxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d1e853ad6d7867d5
Untitled,Louise Nevelson,(American),1963,Lithograph,Print,Drawings & Prints,75870,https://www.moma.org/collection/works/75870,https://www.moma.org/media/W1siZiIsIjE2NzcxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=906e079601a27b52
4th International Aviation Meeting Zurich,Otto Baumberger,(Swiss),1937,Lithograph,Design,Architecture & Design,6618,https://www.moma.org/collection/works/6618,https://www.moma.org/media/W1siZiIsIjUyNDEwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1f20e467296ddc25
MARINO MARINI,Marino Marini,(Italian),"1942, published 1951","Monograph with reproductions after drawings (including front cover); and supplementary unbound etching (+Rider-), printed in black on cream, smooth, wove Umbria paper",Illustrated Book,Drawings & Prints,28121,정보없음,정보없음
Roy,Chuck Close,(American),2009,Paper pulp,Print,Drawings & Prints,137447,정보없음,정보없음
The Beatles,"Richard Hamilton, The Beatles",(British) (),1968,Two 12-inch vinyl records,Audio,Drawings & Prints,183996,https://www.moma.org/collection/works/183996,https://www.moma.org/media/W1siZiIsIjMwNjMxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=988033a659704b18
Plate 5 (folio 14) from Rencontre,Enrique Zañartu,(Chilean),1962,"Etching, aquatint and engraving",Illustrated Book,Drawings & Prints,15984,https://www.moma.org/collection/works/15984,https://www.moma.org/media/W1siZiIsIjMxMDY0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e2c616a6944db6ec
MoMA Baby,James Riddle,(American),c. 1964,"Cardboard, paper, ink, pencil, crayon, metal, and tape",Sculpture,Drawings & Prints,132144,https://www.moma.org/collection/works/132144,https://www.moma.org/media/W1siZiIsIjQwMDM0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9d49514556a043c0
"The Live! Show, 1979-1983 (March 11, 1983)",Jaime Davidovich,(American),1983,"Standard-definition video (color, sound)",Video,Media and Performance,486547,https://www.moma.org/collection/works/486547,https://www.moma.org/media/W1siZiIsIjU5NzY2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a0eb6a2504987478
The Bottle Bottle-Opener,George Brecht,(American),1966/1980,Glass bottle with corkscrew and printed label,Multiple,Drawings & Prints,136657,https://www.moma.org/collection/works/136657,https://www.moma.org/media/W1siZiIsIjM3OTYwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c0abdb08d8df300d
Frontispiece for Le Mouvement idéaliste en peinture,Odilon Redon,(French),1896,Lithograph on chine appliqué,Print,Drawings & Prints,71040,https://www.moma.org/collection/works/71040,https://www.moma.org/media/W1siZiIsIjk3NDM1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=5c7b81f6e03fac29
WORK 63-14-3,Nankoku Hidai,(Japanese),1963,Ink on paper on board,Drawing,Drawings & Prints,35217,https://www.moma.org/collection/works/35217,정보없음
Exhibition of Articles Which I Have Not Created from Performance Files,Milan Knížák,(Czech),1965,"Envelope, two photocopies, and 16 gelatin silver prints",Print,Drawings & Prints,178926,정보없음,정보없음
Untitled (for Parkett no. 87),Kelley Walker,(American),2010,Multiple of chocolate and baseball hat,Multiple,Drawings & Prints,142324,https://www.moma.org/collection/works/142324,https://www.moma.org/media/W1siZiIsIjI0OTkyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b1be808d53a43d6d
In Birmingham Jail,Warrington Colescott,(American),1963,"Etching, aquatint, and drypoint with roulette and found letterpress",Print,Drawings & Prints,62984,https://www.moma.org/collection/works/62984,https://www.moma.org/media/W1siZiIsIjIxODMyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2bdc97aae95c72c7
6 LITHOGAPHS BY MORENI,Mattia Moreni,(Italian),(1960),Portfolio with 6 lithographs and a frontpiece,Print,Drawings & Prints,172275,정보없음,정보없음
Unidentfied Project (Unidentified sketch.),Ludwig Mies van der Rohe,(American),n.d.,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,471221,정보없음,정보없음
"Resor House project, Jackson Hole, WY (Wood panelling and fascia studies. Sections. Sketch.)",Ludwig Mies van der Rohe,(American),1937—1938,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,494471,정보없음,정보없음
